      -0.860524620000000E+02       0.309932470000000E+02
      -0.860350390000000E+02       0.309933200000000E+02
      -0.859986430000000E+02       0.309928700000000E+02
      -0.859358513251633E+02       0.309932266758314E+02
      -0.858935430000000E+02       0.309934670000000E+02
      -0.858311203135301E+02       0.309940624911564E+02
      -0.857499320000000E+02       0.309948370000000E+02
      -0.857496190000000E+02       0.309952920000000E+02
      -0.856919781371089E+02       0.309956671803351E+02
      -0.856524648628405E+02       0.309959243694669E+02
      -0.856314337055706E+02       0.309960612597950E+02
      -0.855831671729885E+02       0.309963754232714E+02
      -0.854982720000000E+02       0.309969280000000E+02
      -0.854926260414173E+02       0.309970157136827E+02
      -0.853820759023618E+02       0.309987331828552E+02
      -0.853291590814411E+02       0.309995552804972E+02
      -0.852436320000000E+02       0.310008840000000E+02
      -0.852032952418257E+02       0.310008618369461E+02
      -0.851544520000000E+02       0.310008350000000E+02
      -0.851544520000000E+02       0.310008350000000E+02
      -0.851522180000000E+02       0.310008340000000E+02
      -0.851522180000000E+02       0.310008340000000E+02
      -0.851520850000000E+02       0.310008880000000E+02
      -0.851520850000000E+02       0.310008880000000E+02
      -0.851458350000000E+02       0.310006950000000E+02
      -0.851458350000000E+02       0.310006950000000E+02
      -0.851170310930479E+02       0.310006591178496E+02
      -0.850575340000000E+02       0.310005850000000E+02
      -0.850575340000000E+02       0.310005850000000E+02
      -0.850548020000000E+02       0.310005850000000E+02
      -0.850548020000000E+02       0.310005850000000E+02
      -0.850520880000000E+02       0.310005850000000E+02
      -0.850520880000000E+02       0.310005850000000E+02
      -0.850311550000000E+02       0.310006470000000E+02
      -0.850311550000000E+02       0.310006470000000E+02
      -0.850301070000000E+02       0.310006530000000E+02
      -0.850301070000000E+02       0.310006530000000E+02
      -0.850275120000000E+02       0.310006700000000E+02
      -0.850275120000000E+02       0.310006700000000E+02
      -0.850241080000000E+02       0.310006810000000E+02
      -0.850241080000000E+02       0.310006810000000E+02
      -0.850023680000000E+02       0.310006820000000E+02
      -0.850023680000000E+02       0.310006820000000E+02
      -0.850019000000000E+02       0.310006810000000E+02
      -0.850018190000000E+02       0.309978890000000E+02
      -0.850018509288174E+02       0.309974023180252E+02
      -0.850018840108327E+02       0.309968980581815E+02
      -0.850024500407213E+02       0.309882702239575E+02
      -0.850024955109777E+02       0.309875771336412E+02
      -0.850025400000000E+02       0.309868990000000E+02
      -0.850059340000000E+02       0.309798040000000E+02
      -0.850059317438958E+02       0.309777253760174E+02
      -0.850059313736152E+02       0.309773842241468E+02
      -0.850059310000000E+02       0.309770400000000E+02
      -0.850058575940061E+02       0.309768324014507E+02
      -0.850053232387543E+02       0.309753211982205E+02
      -0.850051050000000E+02       0.309747040000000E+02
      -0.850040260000000E+02       0.309734680000000E+02
      -0.849999280000000E+02       0.309711860000000E+02
